station_id yyyymmddhh TX01 PP01
C0A940 2025073006 29.2 0.0
C0A940 2025073007 29.6 0.0
C0A940 2025073008 29.2 0.0
C0A940 2025073009 30.5 0.0
C0A940 2025073010 31.5 0.0
C0A940 2025073011 32.6 0.0
C0A940 2025073012 34.2 0.0
C0A940 2025073013 34.2 0.0
C0A940 2025073014 34.3 0.0
C0A940 2025073015 NaN 0.0
C0A940 2025073016 30.9 0.0
C0A940 2025073017 30.5 0.0
C0A940 2025073018 30.0 0.0
C0A940 2025073019 28.9 0.0
C0A940 2025073020 28.9 0.0
C0A940 2025073021 28.4 0.0
C0A940 2025073022 27.7 0.0
C0A940 2025073023 27.6 0.0
C0A940 2025073024 27.3 0.0
C0A950 2025073001 28.4 0.0
C0A950 2025073002 28.1 0.0
C0A950 2025073003 29.6 0.0
C0A950 2025073004 29.9 0.0
C0A950 2025073005 30.0 0.0
C0A950 2025073006 29.9 0.0
C0A950 2025073007 29.9 0.0
C0A950 2025073008 31.9 0.0
C0A950 2025073009 32.2 0.0
C0A950 2025073010 30.7 0.0
C0A950 2025073011 30.6 0.0
C0A950 2025073012 30.4 0.0
C0A950 2025073013 30.0 0.0
C0A950 2025073014 29.7 0.0
C0A950 2025073015 29.8 0.0
C0A950 2025073016 29.6 0.0
C0A950 2025073017 29.4 0.0
C0A950 2025073018 29.9 0.0
C0A950 2025073019 29.1 0.0
C0A950 2025073020 29.6 0.0
C0A950 2025073021 29.6 0.0
C0A950 2025073022 29.2 0.0
C0A950 2025073023 29.0 0.0
C0A950 2025073024 28.7 0.0
C0A970 2025073001 26.3 0.0
C0A970 2025073002 26.4 0.0
C0A970 2025073003 26.3 0.0
C0A970 2025073004 26.2 0.0
C0A970 2025073005 26.5 0.0
C0A970 2025073006 27.2 0.0
C0A970 2025073007 30.0 0.0
C0A970 2025073008 31.5 0.0
C0A970 2025073009 33.0 0.0
C0A970 2025073010 32.9 0.0
C0A970 2025073011 33.9 0.0
C0A970 2025073012 34.0 0.0
C0A970 2025073013 29.1 0.0
C0A970 2025073014 28.2 0.0
C0A970 2025073015 28.2 0.0
C0A970 2025073016 27.6 0.0
C0A970 2025073017 27.9 0.0
C0A970 2025073018 27.4 0.0
C0A970 2025073019 27.1 0.0
C0A970 2025073020 27.4 0.0
C0A970 2025073021 28.0 0.0
C0A970 2025073022 28.5 0.0
C0A970 2025073023 27.1 0.0
C0A970 2025073024 26.9 0.0
C0A980 2025073001 28.8 0.0
C0A980 2025073002 28.6 0.0
C0A980 2025073003 28.2 0.0
C0A980 2025073004 28.1 0.0
C0A980 2025073005 27.3 0.0
C0A980 2025073006 27.3 0.0
C0A980 2025073007 31.0 0.0
C0A980 2025073008 32.4 0.0
C0A980 2025073009 33.5 0.0
C0A980 2025073010 35.1 0.0
C0A980 2025073011 35.2 0.0
C0A980 2025073012 35.3 0.0
C0A980 2025073013 35.1 0.0
C0A980 2025073014 34.2 0.0
C0A980 2025073015 36.1 0.0
C0A980 2025073016 36.1 0.0
C0A980 2025073017 34.7 NaN
C0A980 2025073018 34.0 0.0
C0A980 2025073019 32.9 0.0
C0A980 2025073020 31.1 0.0
C0A980 2025073021 30.5 0.0
C0A980 2025073022 30.3 0.0
C0A980 2025073023 29.9 0.0
C0A980 2025073024 30.4 0.0
C0A9C0 2025073001 27.1 0.0
C0A9C0 2025073002 27.0 0.0
C0A9C0 2025073003 26.6 0.0
C0A9C0 2025073004 26.8 0.0
C0A9C0 2025073005 26.3 0.0
C0A9C0 2025073006 26.2 0.0
C0A9C0 2025073007 27.9 0.0
C0A9C0 2025073008 29.7 0.0
C0A9C0 2025073009 31.2 0.0
C0A9C0 2025073010 33.2 0.0
C0A9C0 2025073011 34.1 0.0
C0A9C0 2025073012 34.9 0.0
C0A9C0 2025073013 33.9 0.0
C0A9C0 2025073014 34.5 0.0
C0A9C0 2025073015 35.3 0.0
C0A9C0 2025073016 35.0 0.0
C0A9C0 2025073017 34.3 0.0
C0A9C0 2025073018 33.1 0.0
C0A9C0 2025073019 32.9 0.0
C0A9C0 2025073020 30.8 0.0
C0A9C0 2025073021 29.4 0.0
C0A9C0 2025073022 29.2 0.0
C0A9C0 2025073023 30.0 0.0
C0A9C0 2025073024 30.3 0.0
C0A9F0 2025073001 29.0 0.0
C0A9F0 2025073002 28.8 0.0
C0A9F0 2025073003 28.7 0.0
C0A9F0 2025073004 28.3 0.0
C0A9F0 2025073005 28.6 0.0
C0A9F0 2025073006 28.8 0.0
C0A9F0 2025073007 29.8 0.0
C0A9F0 2025073008 30.6 0.0
C0A9F0 2025073009 32.3 0.0
C0A9F0 2025073010 33.8 0.0
C0A9F0 2025073011 35.6 0.0
C0A9F0 2025073012 35.4 0.0
C0A9F0 2025073013 35.2 0.0
C0A9F0 2025073014 36.0 0.0
C0A9F0 2025073015 35.9 0.0
C0A9F0 2025073016 36.1 0.0
C0A9F0 2025073017 35.5 0.0
C0A9F0 2025073018 34.5 0.0
C0A9F0 2025073019 NaN 0.0
C0A9F0 2025073020 33.2 0.0
C0A9F0 2025073021 32.9 0.0
C0A9F0 2025073022 32.6 0.0
C0A9F0 2025073023 31.9 0.0
C0A9F0 2025073024 31.4 0.0
C0AC40 2025073001 22.8 0.0
C0AC40 2025073002 NaN 0.0
C0AC40 2025073003 22.8 0.0
C0AC40 2025073004 23.0 0.0
